Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Dwyane Wade,27,MIA,SG,79,79,38.6,10.8,22.0,.491,1.1,3.5,.317,9.7,18.5,.524,.516,7.5,9.8,.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,MVP-3DPOY-3ASNBA1DEF2,wadedw01
2,LeBron James,24,CLE,SF,81,81,37.7,9.7,19.9,.489,1.6,4.7,.344,8.1,15.2,.535,.530,7.3,9.4,.780,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,MVP-1DPOY-2ASNBA1DEF1,jamesle01
3,Kobe Bryant,30,LAL,SG,82,82,36.1,9.8,20.9,.467,1.4,4.1,.351,8.3,16.8,.496,.502,5.9,6.9,.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,MVP-2DPOY-7ASNBA1DEF1,bryanko01
4,Dirk Nowitzki,30,DAL,PF,81,81,37.7,9.6,20.0,.479,0.8,2.1,.359,8.8,17.9,.493,.498,6.0,6.7,.890,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2,25.9,MVP-10ASNBA1,nowitdi01
5,Danny Granger,25,IND,SF,67,66,36.2,8.5,19.1,.447,2.7,6.7,.404,5.8,12.3,.470,.518,6.0,6.9,.878,0.7,4.4,5.1,2.7,1.0,1.4,2.5,3.1,25.8,MIP-1AS,grangda01
6,Kevin Durant,20,OKC,SF,74,74,39.0,8.9,18.8,.476,1.3,3.1,.422,7.6,15.7,.486,.510,6.1,7.1,.863,1.0,5.5,6.5,2.8,1.3,0.7,3.0,1.8,25.3,,duranke01
7,Kevin Martin,25,SAC,SG,51,46,38.2,6.7,15.9,.420,2.3,5.4,.415,4.4,10.5,.423,.491,9.0,10.3,.867,0.6,3.0,3.6,2.7,1.2,0.2,2.9,2.3,24.6,,martike02
8,Al Jefferson,24,MIN,C,50,50,36.7,9.7,19.5,.497,0.0,0.1,.000,9.7,19.4,.499,.497,3.7,5.0,.738,3.4,7.5,11.0,1.6,0.8,1.7,1.8,2.8,23.1,,jeffeal01
9,Carmelo Anthony,24,DEN,SF,66,66,34.5,8.1,18.3,.443,1.0,2.6,.371,7.2,15.7,.455,.469,5.6,7.1,.793,1.6,5.2,6.8,3.4,1.1,0.4,3.0,3.0,22.8,NBA3,anthoca01
10,Chris Paul,23,NOH,PG,78,78,38.5,8.1,16.1,.503,0.8,2.3,.364,7.3,13.8,.525,.528,5.8,6.7,.868,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8,MVP-5DPOY-6ASNBA2DEF1,paulch01
11,Chris Bosh,24,TOR,C,77,77,38.0,8.0,16.4,.487,0.2,0.6,.245,7.8,15.8,.497,.492,6.5,8.0,.817,2.8,7.2,10.0,2.5,0.9,1.0,2.3,2.5,22.7,AS,boshch01
12,Brandon Roy,24,POR,SG,78,78,37.2,8.1,16.9,.480,1.1,2.8,.377,7.1,14.1,.501,.512,5.3,6.5,.824,1.3,3.4,4.7,5.1,1.1,0.3,1.9,1.6,22.6,MVP-9ASNBA2,roybr01
13,Antawn Jamison,32,WAS,PF,81,81,38.2,8.3,17.8,.468,1.4,3.9,.351,6.9,13.9,.501,.507,4.2,5.6,.754,2.4,6.5,8.9,1.9,1.2,0.3,1.5,2.7,22.2,,jamisan01
14,Tony Parker,26,SAS,PG,72,71,34.1,8.9,17.5,.506,0.3,0.9,.292,8.6,16.6,.518,.513,3.9,5.0,.782,0.4,2.7,3.1,6.9,0.9,0.1,2.6,1.5,22.0,MVP-8ASNBA3,parketo01
15,Joe Johnson,27,ATL,SG,79,79,39.5,7.8,18.0,.437,1.9,5.2,.360,6.0,12.7,.468,.489,3.8,4.6,.826,0.8,3.6,4.4,5.8,1.1,0.2,2.5,2.2,21.4,AS,johnsjo02
16,Amar'e Stoudemire,26,PHO,PF,53,53,36.8,7.6,14.1,.539,0.1,0.1,.429,7.6,14.0,.540,.541,6.1,7.3,.835,2.2,5.9,8.1,2.0,0.9,1.1,2.8,3.1,21.4,AS,stoudam01
17,Devin Harris,25,NJN,PG,69,69,36.1,6.6,15.1,.438,0.9,3.2,.291,5.7,11.9,.477,.469,7.2,8.8,.820,0.4,2.9,3.3,6.9,1.7,0.2,3.1,2.4,21.3,AS,harride01
18,Michael Redd,29,MIL,SG,33,32,36.5,7.5,16.6,.455,2.1,5.8,.366,5.4,10.8,.503,.519,4.0,4.9,.814,0.7,2.5,3.2,2.7,1.1,0.1,1.6,1.4,21.2,,reddmi01
19,David West,28,NOH,PF,76,76,39.2,8.0,17.0,.472,0.1,0.3,.240,7.9,16.7,.477,.474,4.8,5.5,.884,2.1,6.4,8.5,2.3,0.6,0.9,2.1,2.7,21.0,AS,westda01
20,Zach Randolph,27,2TM,C,50,45,35.1,8.3,17.5,.475,0.6,1.9,.330,7.7,15.5,.494,.494,3.6,4.9,.734,3.1,6.9,10.1,2.1,0.9,0.3,2.3,2.7,20.8,,randoza01
20,Zach Randolph,27,NYK,C,11,11,35.3,7.5,17.2,.434,0.6,2.2,.292,6.8,15.0,.455,.452,5.0,6.1,.821,3.6,8.8,12.5,1.4,1.2,0.3,2.1,2.5,20.5,,randoza01
20,Zach Randolph,27,LAC,PF,39,34,35.1,8.5,17.5,.487,0.6,1.9,.342,7.9,15.7,.504,.505,3.2,4.5,.701,3.0,6.4,9.4,2.3,0.8,0.3,2.3,2.7,20.9,,randoza01
21,Caron Butler,28,WAS,SG,67,67,38.6,7.3,16.2,.453,1.0,3.1,.310,6.4,13.1,.487,.482,5.1,6.0,.858,1.8,4.4,6.2,4.3,1.6,0.3,3.1,2.5,20.8,,butleca01
22,Vince Carter,32,NJN,SG,80,80,36.8,7.4,16.8,.437,1.9,4.9,.385,5.5,11.9,.459,.493,4.2,5.1,.817,0.9,4.2,5.1,4.7,1.0,0.5,2.1,2.9,20.8,,cartevi01
23,Ben Gordon,25,CHI,SG,82,76,36.6,7.3,16.0,.455,2.1,5.1,.410,5.2,10.9,.476,.521,4.0,4.7,.864,0.6,2.8,3.5,3.4,0.9,0.3,2.4,2.2,20.7,,gordobe01
24,Stephen Jackson,30,GSW,SF,59,59,39.6,7.0,16.9,.414,1.7,5.2,.338,5.3,11.7,.448,.466,5.0,6.0,.826,1.2,3.9,5.1,6.5,1.5,0.5,3.9,2.6,20.7,,jacksst02
25,Dwight Howard,23,ORL,C,79,79,35.7,7.1,12.4,.572,0.0,0.0,.000,7.1,12.4,.573,.572,6.4,10.7,.594,4.3,9.6,13.8,1.4,1.0,2.9,3.0,3.4,20.6,MVP-4DPOY-1ASNBA1DEF1,howardw01
26,Paul Pierce,31,BOS,SF,81,81,37.5,6.7,14.6,.457,1.5,3.8,.391,5.2,10.8,.480,.508,5.7,6.8,.830,0.7,5.0,5.6,3.6,1.0,0.3,2.8,2.7,20.5,MVP-7ASNBA2,piercpa01
27,Al Harrington,28,2TM,PF,73,56,34.9,7.3,16.6,.439,2.3,6.4,.364,4.9,10.2,.487,.509,3.2,4.0,.793,1.4,4.9,6.2,1.4,1.2,0.3,2.2,3.1,20.1,,harrial01
27,Al Harrington,28,GSW,PF,5,5,33.2,4.6,14.0,.329,2.2,5.6,.393,2.4,8.4,.286,.407,1.0,2.0,.500,2.0,3.6,5.6,2.0,1.4,0.0,1.4,2.8,12.4,,harrial01
27,Al Harrington,28,NYK,PF,68,51,35.0,7.5,16.8,.446,2.4,6.5,.362,5.1,10.3,.499,.516,3.4,4.2,.804,1.3,5.0,6.3,1.4,1.2,0.3,2.3,3.1,20.7,,harrial01
28,Jamal Crawford,28,2TM,PG,65,65,38.1,6.4,15.7,.410,2.2,6.1,.360,4.3,9.7,.441,.479,4.6,5.3,.872,0.4,2.6,3.0,4.4,0.9,0.2,2.3,1.4,19.7,,crawfja01
28,Jamal Crawford,28,NYK,SG,11,11,35.6,6.6,15.4,.432,3.2,7.0,.455,3.5,8.4,.413,.536,3.2,4.2,.761,0.2,1.4,1.5,4.4,0.8,0.0,2.4,1.2,19.6,,crawfja01
28,Jamal Crawford,28,GSW,PG,54,54,38.6,6.4,15.8,.406,2.0,5.9,.338,4.4,9.9,.446,.468,4.9,5.5,.889,0.4,2.9,3.3,4.4,0.9,0.2,2.3,1.5,19.7,,crawfja01
29,Yao Ming,28,HOU,C,77,77,33.6,7.4,13.4,.548,0.0,0.0,1.000,7.3,13.4,.548,.549,4.9,5.7,.866,2.6,7.2,9.9,1.8,0.4,1.9,3.0,3.3,19.7,MVP-12ASNBA2,mingya01
30,Richard Jefferson,28,MIL,SF,82,82,35.8,6.5,14.9,.439,1.4,3.6,.397,5.1,11.3,.453,.487,5.1,6.3,.805,0.7,3.9,4.6,2.4,0.8,0.2,2.0,3.1,19.6,,jefferi01
31,Jason Terry,31,DAL,SG,74,11,33.7,7.3,15.8,.463,2.3,6.2,.366,5.1,9.6,.525,.535,2.7,3.0,.880,0.5,1.9,2.4,3.4,1.3,0.3,1.6,1.9,19.6,6MOY-1,terryja01
32,Deron Williams,24,UTA,PG,68,68,36.8,6.8,14.5,.471,1.0,3.3,.310,5.8,11.1,.518,.506,4.8,5.6,.849,0.4,2.5,2.9,10.7,1.1,0.3,3.4,2.0,19.4,,willide01
33,Tim Duncan,32,SAS,C,75,75,33.7,7.4,14.8,.504,0.0,0.0,.000,7.4,14.7,.505,.504,4.5,6.4,.692,2.7,8.0,10.7,3.5,0.5,1.7,2.2,2.3,19.3,MVP-11DPOY-11ASNBA2DEF2,duncati01
