Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Oklahoma City Thunder,68-14,36-6,32-8,29-1,39-13,10-0,9-1,10-0,12-4,13-3,14-6,44-10,24-4,1-4,54-5,4-0,11-4,12-1,10-4,11-2,15-1,5-2
2,Cleveland Cavaliers,64-18,34-7,30-11,41-11,23-7,16-3,12-4,13-4,9-1,6-4,8-2,44-10,20-8,5-4,41-7,5-0,12-3,12-1,10-5,10-1,11-5,4-3
3,Boston Celtics,61-21,28-13,33-8,39-13,22-8,14-2,12-6,13-5,8-2,7-3,7-3,39-16,22-5,8-3,41-7,4-1,12-2,8-6,10-6,8-3,14-1,5-2
4,Houston Rockets,52-30,29-12,23-18,21-9,31-21,6-4,7-3,8-2,9-9,9-9,13-3,34-21,18-9,8-5,26-12,3-2,11-4,7-5,11-4,5-7,12-5,3-3
5,New York Knicks,51-31,27-14,24-17,34-18,17-13,12-4,7-10,15-4,6-4,4-6,7-3,36-18,15-13,7-3,31-19,2-2,9-6,12-2,9-6,7-4,8-7,4-4
6,Denver Nuggets,50-32,26-15,24-17,18-12,32-20,6-4,4-6,8-2,8-8,13-6,11-6,36-19,14-13,8-6,31-17,2-2,8-5,8-6,11-6,10-2,8-7,3-4
7,Indiana Pacers,50-32,29-12,21-20,29-22,21-10,10-7,10-6,9-9,6-4,8-2,7-4,30-23,20-9,6-2,25-17,2-3,7-8,7-7,10-2,7-5,11-6,6-1
8,Los Angeles Clippers,50-32,30-11,20-21,21-9,29-23,7-3,4-6,10-0,8-10,9-7,12-6,31-23,19-9,5-7,32-13,2-3,10-6,7-5,9-6,4-7,11-5,7-0
9,Los Angeles Lakers,50-32,31-10,19-22,14-16,36-16,7-3,2-8,5-5,11-8,12-4,13-4,32-20,18-12,4-6,22-21,3-2,8-6,7-6,9-5,10-2,9-8,4-3
10,Minnesota Timberwolves,49-33,25-16,24-17,16-14,33-19,6-4,3-7,7-3,11-5,12-7,10-7,31-25,18-8,11-11,31-9,2-2,7-8,8-5,10-6,5-8,11-3,6-1
11,Golden State Warriors,48-34,24-17,24-17,19-11,29-23,6-4,6-4,7-3,11-5,5-11,13-7,28-27,20-7,6-6,26-15,4-1,8-6,4-9,8-8,8-3,11-4,5-3
12,Memphis Grizzlies,48-34,26-15,22-19,21-10,27-24,6-5,6-4,9-1,9-8,7-11,11-5,36-18,12-16,9-6,31-15,3-3,10-4,10-4,9-5,6-5,6-10,4-3
